UniqueID,Deep-Lying_Forward,Target_Forward,Poacher,Complete_Forward,Advanced_Forward,Pressing_Forward,Trequartista
11397,14.40466312,12.97469541,9.913289735,8.934139979,17.691303,20.32940017,15.75250859
22995,13.01388303,15.2501271,15.78942734,10.87647714,15.22014939,15.71088483,14.13905116
23451,13.83399452,14.32090106,17.89559643,10.09644841,14.91049167,15.58238097,13.36018694
41586,21.29004585,15.61391574,10.62768481,11.24814808,13.93912617,12.97871445,14.3023649
12781,22.0138398,11.641091,8.062574218,17.15252615,13.01671405,10.47335558,17.63989921
12060,13.49030219,15.86305276,12.79611639,12.05534377,10.30869842,15.42348218,20.0630043
11623,13.41848701,15.89676798,12.72652759,11.97607278,10.35181158,15.47692515,20.15340791
12538,12.71516581,14.64935646,12.09293525,15.97503011,15.29828443,12.12649947,17.14272847
13025,12.85509664,15.69053631,16.70129298,14.03722171,11.82975796,15.11164501,13.77444938
23847,13.62270102,20.29756014,9.570646764,11.54780949,10.46644704,16.49640327,17.99843226
24724,13.22073372,18.22783837,19.26180485,11.12224601,14.71365045,14.39100343,9.062723179
34422,13.37524302,19.95377984,14.58990659,12.71734764,12.13434202,16.18885932,11.04052157
25459,13.18561066,18.00246558,17.78055281,11.76655648,15.37927418,14.24579383,9.639746459
2529,12.0701906,15.56015666,13.25065261,13.96518371,14.75340127,15.52281229,14.87760286
1211,9.949523157,14.37934189,14.60950322,12.41842701,14.19768987,16.26081476,18.18470008
2102,10.14308726,13.60446626,16.22637668,13.51582981,14.47844691,15.89426154,16.13753154
26048,14.53107825,19.31941036,8.001245934,14.34801429,18.22120361,16.15790614,9.421141423
17148,20.37803552,14.78573215,15.5140544,13.34181058,12.60544081,11.47163207,11.90329448
18131,17.85669072,14.91928816,12.33054981,14.40913663,12.16082822,12.59260473,15.73090173
8619,16.22281877,16.89318816,8.857634336,12.16423822,17.13916994,14.57060502,14.15234556
38456,14.40401048,17.16570087,15.85604843,11.10205249,12.00746448,16.22390219,13.24082106
8182,13.881472,15.20162103,11.99470403,14.29891676,16.49516169,14.48844569,13.63967879
37982,14.48116258,14.23409572,12.6271762,14.24537687,15.92574464,15.40160272,13.08484127
8577,16.82322926,17.73315969,7.721340534,10.99954019,15.26585689,15.62607658,15.83079685
18061,16.28575958,16.7150546,8.967826697,11.77647333,13.93138426,14.48251259,17.84098896
18475,20.86722494,14.76445383,10.3584378,15.47463449,11.30708329,16.73876363,10.48940202
6245,17.11350426,14.90003496,13.04753695,11.89028839,13.87433166,16.61855388,12.5557499
7145,17.11350426,14.90003496,13.04753695,11.89028839,13.87433166,16.61855388,12.5557499
17749,17.68330434,12.98892474,11.8254974,15.26060606,16.73615013,11.51726798,13.98824936
16879,18.42910624,15.30212213,11.07444207,12.9031234,13.8637559,13.70706581,14.72038446
16259,19.37243259,11.58928832,10.91059789,14.63491406,19.19545564,10.77262257,13.52468892
16664,20.02564809,13.09042464,11.11093082,14.6379987,19.77262189,12.23429993,9.128075933
24449,13.8384797,14.03674892,16.22425742,11.19196192,15.99050039,15.99129303,12.72675862
36243,12.90053761,14.87139809,15.11356094,15.43260327,16.37099831,13.28967366,12.02122813
29909,12.65328003,14.70001574,2.321139162,35.93976158,18.18271587,2.74859598,13.45449164
30590,12.65328003,14.70001574,2.321139162,35.93976158,18.18271587,2.74859598,13.45449164
30960,12.76141497,14.82564209,2.340975619,35.7829765,17.94743162,2.772085482,13.56947373
9697,17.06139973,14.65049402,10.29405844,19.75865284,11.92854675,11.07141068,15.23543754
10161,18.0960683,18.21396713,10.36867394,16.47607063,12.20392779,13.85894874,10.78234346
8846,16.11026566,16.17709176,10.84581335,19.93371182,12.41039604,9.620681272,14.9020401
8101,17.07115926,13.46153708,11.80052421,16.34334049,13.50284865,10.74194336,17.07864696
8555,17.07115926,13.46153708,11.80052421,16.34334049,13.50284865,10.74194336,17.07864696
13262,13.05059138,14.0360438,14.2167471,15.41544646,17.16052405,13.88788119,12.23276603
27565,18.40185441,12.65405315,9.505941245,18.33192058,17.07661263,10.78525007,13.24436791
27126,13.83759423,12.28588296,15.62554021,16.23811195,15.3738676,11.40400062,15.23500243
35441,25.08723077,22.7260104,5.619056914,13.75581019,13.67063874,9.801014857,9.340238124
34977,17.92087569,15.7662974,11.67795409,10.91038143,15.18742119,15.30107588,13.23599434
2829,14.15742698,17.48308176,15.25702541,12.44859041,15.65597844,12.5444559,12.45344109
38956,13.77229861,18.06336409,14.13219649,13.47373792,15.49945128,11.93803477,13.12091685
39423,14.86929853,18.48062437,14.43031165,13.49808499,17.0750815,11.19119729,10.45540167
3223,14.78407037,16.73871297,15.23543212,13.41767677,15.01592445,13.53397535,11.27420797
29587,13.01787625,18.68168477,10.75313925,13.13692249,14.92864278,13.74135017,15.74038428
23678,14.12192021,15.63308796,11.75242394,10.20843198,15.94896511,16.31769746,16.01747334
36457,14.34420465,18.8781495,12.77387779,13.41873142,15.09940784,14.33573245,11.14989635
22717,14.22588419,15.0708818,11.76057693,12.79217567,16.20719218,14.87209515,15.07119408
30010,13.01787625,18.68168477,10.75313925,13.13692249,14.92864278,13.74135017,15.74038428
18968,18.57311571,12.69949538,13.5904513,12.89255845,15.57570717,14.35282081,12.31585117
19617,19.34638859,14.35239813,9.448781776,13.21140261,15.14825764,15.17961962,13.31315164
19257,19.01468413,11.48255537,16.21675544,14.32755331,14.32577154,13.30051945,11.33216076
9575,11.99536327,13.93553845,14.78670805,12.44658963,18.04671352,14.83449809,13.954589
12254,17.21190745,19.21821201,13.11718989,14.53732547,12.3890998,12.96764588,10.5586195
2574,11.3950113,21.98345105,14.08270748,13.14918669,13.50345449,14.86626932,11.01991967
12795,13.91638917,17.44635981,17.41473099,14.59805532,12.75784359,12.06217866,11.80444246
11875,14.36753018,17.22392449,18.53746481,13.38780073,12.62204694,11.2158929,12.64533994
22021,12.31571902,17.69142295,12.60160711,10.842168,14.92767114,18.24045345,13.38095834
21143,12.30825561,17.83539854,10.65652625,11.47073185,15.77612903,18.56101821,13.3919405
22468,14.04091096,14.63922399,12.01825235,10.47710366,14.77650712,18.69551618,15.35248574
21541,11.9034657,17.11144558,13.57145619,10.33830654,15.26555407,18.8554108,12.95436112
38610,14.3066223,17.00127629,11.1698358,9.983715006,14.36179739,18.06075827,15.11599495
8750,15.24259103,16.51816326,7.736405067,16.33052562,13.46199767,14.37459163,16.33572572
10240,17.89995859,18.03939215,13.37000993,22.91435641,15.23234332,3.546527597,8.997412007
38165,14.11791915,20.05667345,16.52243624,12.50751553,12.03943978,15.40834842,9.347667429
8328,14.33921359,20.18178278,14.74922008,12.81579614,11.85371334,15.63088797,10.42938611
30310,20.56259567,16.5801195,9.500094956,8.344440699,12.38276192,18.77369565,13.85629161
30004,12.65328003,14.70001574,2.321139162,35.93976158,18.18271587,2.74859598,13.45449164
13257,19.61827597,12.62781826,13.08221075,17.11989484,10.75006684,11.14400186,15.65773149
5530,19.37153293,12.95139332,16.86992087,13.63308233,11.65465958,14.10933947,11.41007151
5959,19.37153293,12.95139332,16.86992087,13.63308233,11.65465958,14.10933947,11.41007151
25729,12.04886036,9.58145859,14.14365271,19.27422845,19.31082027,12.14591432,13.4950653
9746,14.71696223,15.40164359,14.5504914,12.33637239,14.74281065,15.76853181,12.48318793
9326,12.76518362,15.99966405,12.3988697,12.46000424,18.36104248,14.74327916,13.27195676
16945,20.38972188,14.94298423,5.164048818,21.13602993,12.96888289,12.54632538,12.85200687
17815,19.43972951,14.49215633,6.798945744,20.36413853,14.05292974,12.71953292,12.13256721
16348,15.10088659,14.79809399,13.25178835,12.97062489,13.49142887,15.25835207,15.12882523
16744,14.91428362,14.82721638,13.24369515,13.15735711,13.67820958,15.14463405,15.0346041
18289,14.48540977,13.40898503,14.24826252,17.97228973,14.68196723,11.57927157,13.62381415
