UniqueID,Wide_Centre-Back_(LCB),No_Nonsense_Centre_Back,Ball_Playing_Defender,Wide_Centre_Back_(RCB),Libero
5215,22.82272802,23.91761392,14.1165118,21.37702718,17.76611908
77,14.16913532,15.29607735,32.26676544,18.47468868,19.79333321
40917,23.97187727,26.47067182,14.12899911,20.02908849,15.39936331
34112,17.52913091,26.87066401,14.13182937,18.41053296,23.05784274
22527,20.30169692,23.80228614,14.13502327,24.10302025,17.65797342
1263,16.96954881,26.4010992,14.13816239,19.3873416,23.103848
2604,16.95914306,30.4308525,14.14364753,19.96723469,18.49912222
3847,19.90381084,23.51616983,14.14863547,21.93946278,20.49192109
2534,24.69816899,22.2110094,14.1497362,22.98916398,15.95192143
4896,23.96714213,23.32197346,14.15147853,21.58348046,16.97592543
29680,22.27539737,24.38418459,14.15303632,20.49044736,18.69693436
4996,21.50259885,25.74245583,14.15620827,18.41659901,20.18213804
2570,23.17006657,24.12742127,14.16188528,20.57054914,17.97007774
27526,19.05908436,22.22522959,14.16809884,21.53355909,23.01402812
3941,18.99745137,20.19982518,14.1761888,23.18178699,23.44474766
21284,17.13443643,28.9080293,14.18247789,19.72173335,20.05332303
21679,17.13443643,28.9080293,14.18247789,19.72173335,20.05332303
35340,10.9118625,22.35092772,31.92110303,16.96845351,17.84765325
66,16.57069434,13.32729994,31.77848932,19.02779438,19.29572201
19163,22.6728993,21.89183083,14.18945951,18.66496293,22.58084742
24803,20.17995354,23.37249868,14.19140235,24.39057336,17.86557207
26019,18.32166267,24.47443214,14.19385882,19.87777023,23.13227614
29783,20.76508742,23.58102431,14.19575106,24.63043716,16.82770005
25515,19.6424568,25.56995573,14.20211448,16.7266976,23.85877539
30087,22.15977054,24.07698857,14.20251975,19.85684253,19.70387861
34548,22.17847606,22.25639147,14.20568859,18.67358868,22.6858552
25504,17.49313907,29.20929445,14.20801902,22.04426484,17.04528262
34546,19.35958211,21.30747558,14.20812421,19.3970509,25.7277672
25538,19.67641384,23.46215519,14.21960302,22.75693543,19.88489252
39526,20.96579159,19.8429348,14.22019516,23.67421073,21.29686772
5034,19.24690038,29.78290106,14.22203023,23.12608093,13.6220874
5242,23.30536939,19.27400274,14.22530948,18.59495532,24.60036307
2281,20.0611563,23.0410357,14.22889163,22.53135841,20.13755796
34211,17.56197409,27.11274286,14.23270313,16.63733667,24.45524325
21135,21.06427777,23.28808284,14.23428698,21.04420862,20.3691438
39097,17.69023571,25.48874945,14.23515989,21.55916117,21.02669377
4141,22.57838716,21.51340446,14.23914082,19.39593953,22.27312803
19491,23.20183157,23.73567781,14.24559132,21.12020461,17.69669469
16653,21.21677544,20.32958783,14.25277642,21.45353431,22.74732601
2788,21.90884979,23.6776918,14.25387398,19.62657775,20.53300668
18792,22.60037777,21.92519258,14.25394549,18.62674013,22.59374403
31352,18.22804386,24.93015761,14.25395534,21.65144036,20.93640284
31823,18.22804386,24.93015761,14.25395534,21.65144036,20.93640284
15271,22.43825256,22.23223891,14.26092419,19.10105048,21.96753387
3840,21.7996232,21.33405227,14.267697,20.82373116,21.77489636
24104,22.19340254,22.81639084,14.26854291,19.38264012,21.33902358
25588,21.72081418,21.54395294,14.27614125,19.53612568,22.92296594
750,15.04314472,25.84747301,20.20444949,22.3303067,16.57462609
19492,13.8363187,26.018614,14.27968644,15.80331335,30.06206752
4900,23.45669409,23.02194454,14.28330106,20.26368737,18.97437294
2881,19.44364962,21.03960607,14.2861809,22.51734975,22.71321365
2587,16.97177826,30.58350953,14.28854172,19.11379355,19.04237695
28967,18.652542,23.94752952,14.29032489,19.2245031,23.88510048
14480,21.03532134,23.78001364,14.29243722,19.37042341,21.5218044
33966,23.36275877,24.17525944,14.29246396,23.21215043,14.9573674
33087,20.24386285,23.27654228,14.29483753,19.09783977,23.08691758
11868,19.1858178,25.04637151,14.29681454,22.95896937,18.51202678
12238,19.1858178,25.04637151,14.29681454,22.95896937,18.51202678
25113,17.97403021,27.17847976,14.29899104,19.45546323,21.09303575
24824,20.15426358,22.55786922,14.30391194,16.90959201,26.07436325
10044,16.78604479,26.4224833,14.31010034,18.6875556,23.79381597
19521,21.9110593,21.29977048,14.3101316,20.62876414,21.85027448
39503,21.585417,21.53015825,14.31787803,20.98711273,21.57943399
24893,17.56552938,28.048128,14.31881606,17.86798103,22.19954554
3246,21.38940062,23.59991961,14.32183053,18.30672813,22.3821211
33298,18.90774726,22.36109113,14.32398696,21.74319136,22.6639833
29924,22.33653419,24.07189772,14.32629715,18.79648325,20.46878769
22994,23.62653386,25.79814956,14.3276214,19.1376137,17.11008148
10534,22.56201138,23.78286226,14.32938478,19.26969392,20.05604765
2012,18.68533609,23.51494769,14.330673,20.30401828,23.16502494
22439,17.25341474,27.67527665,14.33074017,18.04187592,22.69869253
2140,20.01773109,19.44796271,14.3324554,22.90796749,23.29388331
19379,20.07955297,24.7348908,14.33542783,22.32125913,18.52886927
1190,20.4320658,22.54768208,14.33966258,18.98387955,23.69670998
476,19.14496599,10.94291037,31.55207672,19.43073064,18.92931628
4427,22.94059142,22.84558186,14.34568903,23.06544871,16.80268898
33341,18.93395599,23.38407468,14.35342041,20.11894352,23.2096054
27381,21.99087126,21.81773964,14.35650135,17.70345769,24.13143007
34868,12.04716967,23.75523536,30.84977283,16.67690508,16.67091706
13511,22.98490403,23.06232576,14.35913405,22.27543449,17.31820166
1256,23.79416805,18.84756676,14.36017165,21.43802282,21.56007072
4253,22.05108442,21.19709165,14.365581,20.53048315,21.85575978
9475,19.83356418,20.3370912,14.36788389,23.01475883,22.44670192
35303,12.24810283,20.78273867,30.80949268,14.65030968,21.50935614
37861,18.94248901,27.93757486,14.3729102,21.01324905,17.73377688
12884,21.29182058,21.93170338,14.37686334,20.69146935,21.70814334
40529,22.20800626,23.35627721,14.38188193,20.91634436,19.13749024
35405,10.71814374,20.51150484,30.80758244,14.47402964,23.48873933
35496,12.32492388,21.02923451,30.79354425,14.87726308,20.97503427
16075,17.26189198,22.55319904,14.39329618,21.15351744,24.63809537
4115,17.26218536,25.38420875,14.39433071,17.75363282,25.20564235
17044,21.29038291,19.45186427,14.39670492,22.33476679,22.52628111
596,18.37887984,22.43353447,20.17455063,16.90897974,22.10405532
34159,21.11753828,24.99384014,14.40064659,18.35182342,21.13615157
2496,17.11035077,27.80174195,14.40089223,18.18648747,22.50052759
39706,19.9659596,24.28875436,14.401757,20.62596178,20.71756725
13250,20.84604717,24.16578121,14.40179132,22.12533711,18.46104319
2223,21.69008209,24.48578472,14.41705515,19.66562558,19.74145246
17806,19.92660821,21.89694111,14.42852583,20.89113898,22.85678586
288,16.16803918,17.86708561,30.62019946,16.22723875,19.11743699
16270,19.66790486,21.24447694,14.43335808,20.34605537,24.30820476
39132,23.02095577,24.66662193,14.43476035,21.23752827,16.64013369
34245,20.06439473,21.32484569,14.43619659,20.58128795,23.59327504
23609,22.78291239,23.84519814,14.43868543,18.16415911,20.76904493
2502,18.51488709,26.97383763,14.43955657,22.04993475,18.02178396
8263,17.74005951,28.19139765,14.44268136,21.31593102,18.30993046
7873,17.45326338,26.35120916,14.44726551,18.66560607,23.08265588
33717,20.9538413,26.05584297,14.44743908,20.94883933,17.59403732
