UniqueID,Shadow_Striker,Advanced _Playmaker,Enganche,Trequartista
20263,27.48520506,23.46090225,30.67334104,18.38055165
37888,23.78199992,30.29103093,19.88044064,26.04652851
826,7.521273948,29.05412945,28.95118578,34.47341082
6218,17.76010265,21.32040194,27.20535344,33.71414196
6658,17.76010265,21.32040194,27.20535344,33.71414196
28238,12.44781487,20.41523649,23.2736673,43.86328134
28669,12.44781487,20.41523649,23.2736673,43.86328134
15690,15.26598998,25.38405645,27.59974501,31.75020856
2110,27.7858912,23.72077136,28.23395095,20.25938649
40293,24.66501469,26.13790482,31.4993986,17.69768189
17315,25.81896167,19.2107741,25.68260893,29.28765529
14310,26.6571755,26.57646815,20.85647845,25.90987791
15704,32.26662652,17.33533953,19.08949419,31.30853976
34853,29.31426587,23.96420746,23.22332169,23.49820498
40188,32.04986002,26.78839558,16.84843581,24.31330859
15109,22.21789504,26.36258275,22.31538495,29.10413726
14598,23.83684458,24.76985941,25.80665956,25.58663645
14956,23.83684458,24.76985941,25.80665956,25.58663645
8464,26.63905695,20.78570449,25.53920691,27.03603165
39763,19.83489184,28.91982782,23.5117024,27.73357794
19391,25.00681423,25.14542618,24.62875041,25.21900917
21050,26.11474239,24.8189532,25.64181447,23.42448993
2313,25.69034203,21.82801993,27.52155486,24.96008318
22570,24.52993344,20.88262084,20.62111652,33.9663292
35617,14.94891199,28.66949952,23.65220304,32.72938546
24594,21.19762998,25.29027512,24.59551603,28.91657886
32942,35.65798648,23.58440311,15.36811112,25.38949929
16531,26.51279112,23.46686188,20.697867,29.32248
37270,10.68694131,39.56118422,14.60764392,35.14423054
1084,17.44895088,24.37059132,26.20066155,31.97979625
26033,19.89735693,19.79964657,22.43199751,37.87099899
31035,28.70588228,21.22788959,19.27745283,30.7887753
31515,28.70588228,21.22788959,19.27745283,30.7887753
24738,24.91171691,23.78460695,28.09415206,23.20952408
35327,16.0928321,26.07735577,28.34233894,29.48747318
35014,30.72072269,22.3477508,24.15867209,22.77285442
32152,18.50760618,28.64192733,28.4701017,24.38036478
32631,18.50760618,28.64192733,28.4701017,24.38036478
14674,26.30070415,18.16506604,27.04912057,28.48510924
15002,26.30070415,18.16506604,27.04912057,28.48510924
8748,38.66965719,23.72428358,10.01657754,27.58948169
40489,17.33847533,21.36811751,30.04193859,31.25146856
12464,23.95552019,28.87165869,18.22799543,28.9448257
18643,27.37914657,37.266134,12.52467044,22.83004898
25913,16.04117302,25.10077924,27.77056979,31.08747795
27141,26.20206962,26.32074948,28.47399742,19.00318348
40352,13.81390793,21.76726033,31.16423333,33.25459841
5932,10.14599173,32.9987882,23.36550266,33.4897174
13471,18.16933749,23.99133155,28.18789767,29.65143329
36311,8.096384095,42.38403044,16.58843183,32.93115364
8843,10.93996383,36.58504167,22.70645786,29.76853664
14718,31.16363156,24.35968523,22.97111635,21.50556686
15049,31.16363156,24.35968523,22.97111635,21.50556686
25684,23.69676752,21.65551849,27.20807414,27.43963985
34713,22.08180236,19.57476552,18.75144909,39.59198303
1272,23.30156607,21.87324733,25.19088112,29.63430548
24396,27.49510526,26.13536707,26.99868116,19.37084651
34169,27.17474731,22.00704982,20.92213981,29.89606305
36239,33.89539943,17.23564592,13.35987738,35.50907727
15788,10.64823632,27.33694495,28.56463431,33.45018442
24126,30.37564081,18.65996012,21.65014303,29.31425603
25747,13.75916252,24.82944799,27.38108432,34.03030516
14755,32.06024238,22.0335436,22.56480892,23.3414051
196,25.71081868,22.93260922,25.987727,25.36884511
199,27.62282431,21.95444767,25.64562398,24.77710404
17517,12.81103599,26.57583105,21.25858748,39.35454547
38558,3.585352502,31.78413843,36.95350751,27.67700156
38383,21.80171059,21.98708338,23.08457024,33.12663579
2649,18.80940236,26.84715105,24.37726113,29.96618547
7528,18.21571246,27.24861691,31.30020495,23.23546568
15243,20.06821886,23.56055807,21.20452457,35.16669851
35622,21.21742698,24.48714324,22.22824262,32.06718716
13194,24.86945121,25.08798247,21.09358584,28.94898048
39815,19.63859685,23.55631166,26.75564332,30.04944816
19961,14.10717643,25.56997785,29.0085203,31.31432543
915,31.70297876,21.7369118,22.64083988,23.91926956
15170,30.13294454,21.67909606,22.49472583,25.69323357
3473,21.38879443,26.84442131,31.71363311,20.05315116
18457,9.058177728,22.13201896,32.20138287,36.60842044
27623,24.701371,22.52712686,24.17684953,28.59465261
3523,25.65370307,21.35570917,24.05903638,28.93155138
3966,25.65370307,21.35570917,24.05903638,28.93155138
17897,19.53798601,23.16802243,28.76617252,28.52781903
17992,19.53798601,23.16802243,28.76617252,28.52781903
20715,34.2366403,18.48539015,20.52757252,26.75039703
25941,10.72508052,23.24992771,27.74445938,38.2805324
828,11.70442446,32.09696335,25.04703649,31.1515757
17741,14.98197534,22.50017132,26.90566051,35.61219283
25126,29.94623201,20.8167229,24.31511991,24.92192518
230,3.399814251,30.9172343,30.1961465,35.48680495
878,7.639412509,26.96109579,31.8043134,33.5951783
8820,28.73447459,16.71611234,12.44149008,42.10792299
31962,24.21501204,21.2337375,23.5615733,30.98967715
37288,20.18389335,26.31394918,26.14539548,27.35676198
13425,24.96734059,25.49285554,25.56059688,23.979207
23578,18.66193926,32.75748157,14.42410776,34.15647142
5851,23.94303537,28.64871478,14.26096621,33.14728364
25347,22.8788493,25.40615781,26.07971572,25.63527717
31253,13.30495081,35.54554452,29.91097995,21.23852472
11478,33.258444,16.97160295,14.38815602,35.38179703
19210,33.37765279,19.54312653,15.80609506,31.27312562
36978,25.84119157,19.12466789,25.55783699,29.47630355
14128,20.37049107,20.21948651,24.6146881,34.79533431
23901,19.33033035,32.18587274,30.90742732,17.57636959
10812,29.8245257,22.11410718,27.29905588,20.76231124
20534,11.41330978,37.23275605,13.04557651,38.30835767
12583,27.70425954,22.12024379,27.24222362,22.93327305
9837,27.25668551,24.44528024,27.8504701,20.44756415
16056,20.54898463,25.06506398,28.22427071,26.16168068
35029,6.600577849,29.19876117,27.8919201,36.30874088
14362,15.98042898,25.05996787,26.54319333,32.41640981
18162,28.80590539,19.63674511,24.53253786,27.02481164
30302,20.45979624,22.62555807,24.49131979,32.42332591
3061,37.97704457,19.79650503,14.60334179,27.62310861
39239,27.01896976,17.9764066,14.05764512,40.94697851
13658,18.94980999,23.36879999,29.71106423,27.97032579
14088,18.94980999,23.36879999,29.71106423,27.97032579
16908,23.9132825,21.13292825,25.75307518,29.20071407
3525,10.31118671,25.09011717,27.59160645,37.00708967
32213,20.47905068,29.61537024,29.000548,20.90503108
32666,20.47905068,29.61537024,29.000548,20.90503108
39710,28.2062947,25.89367448,16.25617652,29.64385429
1737,13.48710266,25.95863167,26.90832727,33.6459384
24603,20.92139939,29.52355803,14.97245925,34.58258333
19858,35.00344548,18.20358828,15.999604,30.79336223
21953,25.76614252,24.68954715,26.58282446,22.96148587
9356,25.05240848,18.76357018,17.40538329,38.77863805
16864,36.32348813,17.30023295,15.27506691,31.10121201
23814,36.60133841,19.0996015,13.40749844,30.89156165
31488,23.80434004,21.50456818,24.42575474,30.26533704
35452,25.36926392,27.73165901,24.47926701,22.41981006
36403,20.87568637,25.21779614,26.46828853,27.43822896
14094,21.54761024,21.90571601,25.79644554,30.7502282
1991,25.71817526,21.76721246,16.00753267,36.50707961
13848,26.96493945,27.23736704,26.13226695,19.66542656
34976,29.9415857,22.75731052,24.02086221,23.28024157
11122,26.27300165,23.46200819,23.58536693,26.67962323
15104,24.7369098,25.25965863,26.07752936,23.92590221
21256,8.207126094,24.43038886,30.60862062,36.75386443
21645,35.53879157,20.55383,19.02314471,24.88423372
22132,8.207126094,24.43038886,30.60862062,36.75386443
5575,26.58186838,21.36643271,24.04779325,28.00390566
12015,33.81670347,17.85954517,19.37685794,28.94689343
12460,33.81670347,17.85954517,19.37685794,28.94689343
28096,30.36648455,19.53515028,22.06097776,28.03738741
28498,30.36648455,19.53515028,22.06097776,28.03738741
14507,28.12085422,19.57682231,17.80917927,34.4931442
14876,28.12085422,19.57682231,17.80917927,34.4931442
18555,21.55621488,30.83741906,19.48159628,28.12476978
616,28.13561768,21.81311507,27.39739104,22.65387621
39828,19.70830321,25.41027646,25.025887,29.85553332
6003,11.20326248,26.4053515,17.61879009,44.77259592
5484,19.87346372,33.87986729,18.21949247,28.02717652
5917,19.87346372,33.87986729,18.21949247,28.02717652
