UniqueID,Full_Back,Complete_Wing_Back,Wing_Back,Inverted_Full_Back,Inverted_Wing_Back,No_Nonsense_Full_Back
6013,14.3768219,18.36626303,21.74328038,19.77946662,16.06463056,9.669537499
25668,21.08796869,20.25318257,19.70839145,9.728684469,12.99304914,16.22872368
5438,15.95321583,16.77760583,19.19265747,18.10593911,14.18585693,15.78472482
28759,21.52636459,16.68212868,16.91730096,15.73035607,10.85671785,18.28713184
38507,15.19695244,17.77082116,22.20673093,20.65479181,14.90398857,9.266715092
34357,22.42922201,17.3371506,18.84707447,14.13058853,14.89541976,12.36054463
8445,11.48215879,26.06738104,27.16900089,15.00193282,16.10505083,4.174475634
10047,16.45066066,23.16448754,19.26853891,12.74066581,14.22490556,14.15074152
21850,24.58785337,16.06424946,17.16561312,11.11366041,11.9125474,19.15607624
36699,16.78516843,20.56675136,22.34679313,16.65788563,12.96151786,10.68188359
29491,17.92529978,17.06636409,19.21167943,16.56083738,12.55595908,16.67986024
30720,10.9978923,25.32232099,21.32300552,22.73407846,17.55349425,2.069208483
631,17.20685795,14.87514836,14.70174055,26.39368641,14.47528598,12.34728075
28900,13.28507003,26.67389683,21.01339698,13.99717378,14.92777911,10.10268327
9070,19.92501158,16.45063849,17.98062605,15.4134512,11.76643488,18.4638378
9481,19.92501158,16.45063849,17.98062605,15.4134512,11.76643488,18.4638378
34099,17.51671511,20.73507122,20.60907929,10.86437151,16.85941631,13.41534655
800,16.40639042,11.45725709,17.08255872,26.38973485,13.11204848,15.55201043
38594,20.5583358,19.41448817,19.16184032,9.399774931,11.68017848,19.7853823
29654,11.069908,20.38927166,22.32930357,22.28120612,13.93211559,9.998195048
20933,24.62206715,16.15644305,16.7051324,10.57163567,12.27967167,19.66505006
33015,20.07443777,19.82867983,18.04806281,11.58806089,11.80466308,18.65609562
38135,18.79110496,23.49744465,19.99670431,12.89604767,11.78948224,13.02921618
8363,17.7050198,24.84757808,20.72021149,12.72531624,13.66754358,10.33433081
30455,19.11883299,21.11443465,20.33448137,7.255720613,12.57147417,19.60505621
5899,13.7952658,23.83281609,27.0744972,17.01103722,15.0644017,3.221981989
16652,14.76526134,19.62008576,19.69027073,15.18284445,13.90220119,16.83933653
24971,14.19009337,25.36878263,18.80623724,11.74612165,15.35258389,14.53618122
15701,21.50556267,13.71646763,16.4390882,19.44804066,10.84447254,18.0463683
38953,19.29299242,20.42301662,19.46227814,10.44094144,12.11284255,18.26792883
10404,11.10794123,20.97461679,19.05042476,14.07864725,17.16807852,17.62029145
85,16.6761483,13.02273373,15.27557349,26.29745313,13.23573317,15.49235817
2554,18.10469549,14.48915307,18.50602162,18.59045766,13.8946769,16.41499526
22903,14.89344361,21.08492789,20.65484502,15.15090038,14.18759806,14.02828504
38577,24.92090931,12.23312774,14.74275658,12.74126581,13.25451146,22.1074291
496,11.49768198,8.106495724,17.29717782,26.08803393,20.46678071,16.54382983
